bacterial_species,metagenomic,culture,risk_group,human_pathogenicity,urinary_pathogene,aero_intolerant,phyla,genus
Lactobacillus johnsonii,0,1,1,Unclassified,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus plantarum,0,1,1,1,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus rhamnosus,0,1,2,1,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus vaginalis,1,1,1,1,Unclassified,0,Firmicutes,Lactobacillus
Lactococcus garvieae,1,1,2,1,Unclassified,0,Firmicutes,Lactococcus
Lactococcus lactis,0,1,1,Unclassified,Unclassified,0,Firmicutes,Lactococcus
Leclercia adecarboxylata,0,1,2,1,1,0,Proteobacteria,Leclercia
Legionella dresdeniensis,1,0,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Legionella
Legionella londiniensis,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Legionella
Legionella yabuuchiae,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Legionella
Leifsonia aquatica,0,1,Unclassified,Unclassified,1,0,Actinobacteria,Leifsonia
Leminorella grimontii,0,1,Unclassified,Unclassified,1,0,Proteobacteria,Leminorella
Leptospira interrogans,1,1,2,1,Unclassified,0,spirochaetes,Leptospira
Leptotrichia amnionii,1,1,Unclassified,1,1,0,Fusobacteria,Leptotrichia
Levyella massiliensis,1,0,Unclassified,Unclassified,Unclassified,Unclassified,Firmicutes,Levyella
Leuconostoc mesenteroides,0,1,Unclassified,1,1,0,Firmicutes,Leuconostoc
Leuconostoc pseudomesenteroides,0,1,Unclassified,1,1,0,Firmicutes,Leuconostoc
Listeria monocytogenes,0,1,2,1,1,0,Firmicutes,Listeria
Macellibacteroides fermentans,1,0,Unclassified,Unclassified,Unclassified,1,Bacteroidetes,Macellibacteroides
Mageeibacillus indolicus,1,0,Unclassified,1,Unclassified,1,Firmicutes,Mageeibacillus
Mannheimia haemolytica,1,1,2,1,1,0,Proteobacteria,Mannheimia
Megasphaera elsdenii,1,0,2,1,Unclassified,1,Firmicutes,Megasphaera
Mesoflavibacter zeaxanthinifaciens,1,0,Unclassified,Unclassified,Unclassified,0,Bacteroidetes,Mesoflavibacter
Methylobacillus pratensis,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Methylobacillus
Methylobacterium zatmanii,1,0,1,1,Unclassified,0,Proteobacteria,Methylobacterium
Methylotenera mobilis,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Methylotenera
Microbacterium lacticum,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Microbacterium
Microbacterium oxydans,0,1,Unclassified,1,Unclassified,0,Actinobacteria,Microbacterium
Microbacterium paraoxydans,0,1,Unclassified,1,Unclassified,0,Actinobacteria,Microbacterium
